size,rank,NX,omp_threads,setup_time,comm_time,comp_time
16,7,1000,16,0.222900,0.084286,0.044006
16,7,1000,1,0.188478,0.276338,0.584164
16,7,1000,2,0.199211,0.233112,0.294427
16,7,1000,32,0.196863,0.079373,0.030269
16,7,1000,4,0.221368,0.178203,0.149429
16,7,1000,8,0.202985,0.173494,0.077405
16,8,10000,16,0.262627,8.990066,4.244309
16,8,10000,1,0.244208,10.255324,59.907241
16,8,10000,2,0.229796,10.183649,30.080126
16,8,10000,32,0.219542,6.803857,4.050606
16,8,10000,4,0.228263,9.893772,15.229808
16,8,10000,8,0.227611,9.540725,7.774973
16,8,1000,16,0.222918,0.081837,0.046397
16,8,1000,1,0.188549,0.279022,0.581476
16,8,1000,2,0.199277,0.231622,0.295872
16,8,1000,32,0.196695,0.078426,0.031221
16,8,1000,4,0.221448,0.175731,0.151774
16,8,1000,8,0.203116,0.170139,0.080751
16,9,10000,16,0.262805,9.005167,4.229149
16,9,10000,1,0.244196,10.304128,59.858293
16,9,10000,2,0.229854,10.141382,30.122278
16,9,10000,32,0.219544,6.769792,4.084668
16,9,10000,4,0.228049,9.858705,15.264767
16,9,10000,8,0.227727,9.555342,7.760234
16,9,1000,16,0.222939,0.078287,0.049983
16,9,1000,1,0.188638,0.268377,0.592112
16,9,1000,2,0.199214,0.221843,0.305668
16,9,1000,32,0.196537,0.076254,0.033389
16,9,1000,4,0.221292,0.167123,0.160511
16,9,1000,8,0.202923,0.163698,0.087190
1,0,10000,16,0.705076,0.025106,77.736506
1,0,10000,1,0.702519,0.010489,961.751755
1,0,10000,2,0.704184,0.010281,486.882727
1,0,10000,32,0.703679,0.016327,84.262248
1,0,10000,4,0.702944,0.011209,248.393225
1,0,10000,8,0.702535,0.011474,130.136841
1,0,1000,16,0.131521,0.001534,0.747617
1,0,1000,1,0.131741,0.003794,9.580365
1,0,1000,2,0.131334,0.003294,4.926972
1,0,1000,32,0.132090,0.001489,0.435714
1,0,1000,4,0.130350,0.002994,2.522898
1,0,1000,8,0.130776,0.002744,1.325523
2,0,10000,16,0.417363,0.104598,43.442277
2,0,10000,1,0.418716,0.157026,484.507328
2,0,10000,2,0.417892,0.055884,248.147898
2,0,10000,32,0.418879,0.122283,38.399418
2,0,10000,4,0.420075,0.137379,128.761179
2,0,10000,8,0.418301,0.079612,70.336018
2,0,1000,16,0.135842,0.128006,0.304988
2,0,1000,1,0.134429,0.235554,4.639900
2,0,1000,2,0.134097,0.190083,2.325639
2,0,1000,32,0.135767,0.106035,0.162709
2,0,1000,4,0.134859,0.157681,1.165450
2,0,1000,8,0.135736,0.132526,0.588172
2,1,10000,16,0.417791,9.010880,34.527503
2,1,10000,1,0.418328,8.708996,475.947692
2,1,10000,2,0.417360,8.842171,239.354305
2,1,10000,32,0.418365,5.008493,33.508262
2,1,10000,4,0.419666,8.428874,120.461805
2,1,10000,8,0.417788,9.677302,60.730198
2,1,1000,16,0.135294,0.011651,0.421340
2,1,1000,1,0.134265,0.016975,4.858458
2,1,1000,2,0.133748,0.014861,2.500865
2,1,1000,32,0.134871,0.013478,0.255529
2,1,1000,4,0.134591,0.015042,1.308111
2,1,1000,8,0.135504,0.013500,0.707209
32,0,10000,16,0.294197,7.827778,1.973260
32,0,10000,1,0.300297,10.415822,29.393875
32,0,10000,2,0.298604,10.031029,14.856091
32,0,10000,32,0.300802,5.593492,1.001727
32,0,10000,4,0.297534,9.712544,7.507622
32,0,10000,8,0.308886,8.966943,3.793918
32,0,1000,16,0.298760,0.137628,0.026358
32,0,1000,1,0.283426,0.249111,0.296680
32,0,1000,2,0.263837,0.174033,0.150195
32,0,1000,32,0.282317,0.097080,0.021985
32,0,1000,4,0.277280,0.232536,0.077565
32,0,1000,8,0.308881,0.113977,0.042199
32,10,10000,16,0.293751,7.804789,1.996244
32,10,10000,1,0.299902,10.086879,29.723229
32,10,10000,2,0.298219,9.836649,15.050587
32,10,10000,32,0.300546,5.553647,1.041684
32,10,10000,4,0.297115,9.604220,7.616109
32,10,10000,8,0.308624,8.914772,3.846194
32,10,1000,16,0.298562,0.137850,0.026081
32,10,1000,1,0.283024,0.258994,0.286828
32,10,1000,2,0.263533,0.178179,0.146026
32,10,1000,32,0.282233,0.097112,0.021959
32,10,1000,4,0.276917,0.234706,0.075381
32,10,1000,8,0.308330,0.115930,0.040276
32,11,10000,16,0.293757,7.809264,1.991676
32,11,10000,1,0.299755,10.110408,29.699661
32,11,10000,2,0.298320,9.862299,15.025060
32,11,10000,32,0.300563,5.591849,1.003613
32,11,10000,4,0.297206,9.558620,7.661615
32,11,10000,8,0.308586,8.926143,3.834841
32,11,1000,16,0.298467,0.137878,0.026103
32,11,1000,1,0.283091,0.230069,0.315764
32,11,1000,2,0.263467,0.155856,0.168382
32,11,1000,32,0.282093,0.096564,0.022520
32,11,1000,4,0.276987,0.234733,0.075353
32,11,1000,8,0.308427,0.115497,0.040709
32,12,10000,16,0.293706,7.804611,1.996421
32,12,10000,1,0.299804,10.104860,29.705236
32,12,10000,2,0.298526,9.843455,15.043793
32,12,10000,32,0.300499,5.582807,1.012671
32,12,10000,4,0.297060,9.596933,7.623308
32,12,10000,8,0.308647,8.919326,3.841517
32,12,1000,16,0.298435,0.137849,0.026126
32,12,1000,1,0.283211,0.258473,0.287214
32,12,1000,2,0.263520,0.178697,0.145526
32,12,1000,32,0.282107,0.098947,0.020116
32,12,1000,4,0.276910,0.234539,0.075511
32,12,1000,8,0.308333,0.102237,0.053955
32,13,10000,16,0.293744,7.810799,1.990126
32,13,10000,1,0.299841,10.100949,29.709026
32,13,10000,2,0.298251,9.851731,15.035511
32,13,10000,32,0.300567,5.597462,0.997929
32,13,10000,4,0.297075,9.605083,7.615197
32,13,10000,8,0.308600,8.923325,3.837554
32,13,1000,16,0.298779,0.129127,0.034864
32,13,1000,1,0.282974,0.244156,0.301667
32,13,1000,2,0.263532,0.178321,0.145887
32,13,1000,32,0.282109,0.097762,0.021317
32,13,1000,4,0.276916,0.234574,0.075519
32,13,1000,8,0.308371,0.103301,0.052901
32,14,10000,16,0.293780,7.794600,2.006411
32,14,10000,1,0.300154,10.058017,29.751989
32,14,10000,2,0.298462,9.846339,15.041102
32,14,10000,32,0.300440,5.570142,1.025325
32,14,10000,4,0.297071,9.604612,7.615572
32,14,10000,8,0.308578,8.924804,3.836145
32,14,1000,16,0.298563,0.138094,0.025879
32,14,1000,1,0.283037,0.257960,0.287854
32,14,1000,2,0.263556,0.178107,0.146118
32,14,1000,32,0.281961,0.097187,0.021877
32,14,1000,4,0.277095,0.208658,0.101425
32,14,1000,8,0.308298,0.100964,0.055224
32,15,10000,16,0.293638,7.809240,1.991720
32,15,10000,1,0.299986,10.118077,29.692024
32,15,10000,2,0.298408,9.853918,15.033425
32,15,10000,32,0.300538,5.591925,1.003541
32,15,10000,4,0.297170,9.614929,7.605342
32,15,10000,8,0.308848,8.925557,3.835360
32,15,1000,16,0.298557,0.138036,0.025952
32,15,1000,1,0.283112,0.257756,0.288053
32,15,1000,2,0.263534,0.151037,0.173158
32,15,1000,32,0.282119,0.098041,0.021015
32,15,1000,4,0.277016,0.234900,0.075178
32,15,1000,8,0.308369,0.115882,0.040296
32,16,10000,16,0.293718,7.811499,1.989495
32,16,10000,1,0.299761,10.208132,29.601834
32,16,10000,2,0.298115,9.895279,14.992035
32,16,10000,32,0.300515,5.591948,1.003525
32,16,10000,4,0.297080,9.624454,7.595643
32,16,10000,8,0.308668,8.931984,3.828946
32,16,1000,16,0.298486,0.138225,0.025751
32,16,1000,1,0.283032,0.257937,0.287849
32,16,1000,2,0.263569,0.178394,0.145819
32,16,1000,32,0.281967,0.075231,0.043830
32,16,1000,4,0.276881,0.209721,0.100379
32,16,1000,8,0.308527,0.115776,0.040407
32,17,10000,16,0.293725,7.806469,1.994539
32,17,10000,1,0.299810,10.211613,29.598343
32,17,10000,2,0.298392,9.888114,14.999241
32,17,10000,32,0.300448,5.598372,0.997035
